"tissue","treatment","ID","L2FC","padj","gene"
"brain","cold","DN10379_c0_g1_i1",-0.323007907347129,NA,NA
"brain","cold","DN10390_c0_g1_i1",-0.445775452117602,NA,""
"brain","cold","DN10399_c0_g1_i1",0.469717420449707,NA,"Octapeptide-repeat protein T2 "
"brain","cold","DN10399_c1_g1_i1",0.441584779322408,NA,""
"brain","cold","DN1039_c0_g1_i1",0.250705505532538,NA,""
"brain","cold","DN103_c0_g1_i1",-1.40661911740784,NA,""
"brain","cold","DN10404_c0_g1_i1",-0.573336882046937,NA,""
"brain","cold","DN10408_c0_g1_i2",0.367688117363129,NA,"Transmembrane protein "
"brain","cold","DN10416_c0_g1_i1",0.622977197622372,NA,""
"brain","cold","DN10418_c0_g2_i1",-0.42294625855257,NA,""
"brain","cold","DN10419_c2_g1_i1",0.867045457563152,NA,""
"brain","cold","DN10419_c3_g1_i1",-0.65310566936225,NA,""
"brain","cold","DN10420_c0_g1_i1",3.95465877546322,NA,""
"brain","cold","DN10434_c0_g1_i1",0.024295613065366,NA,""
"brain","cold","DN1043_c0_g1_i1",-1.51789719871868,NA,"tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6 "
"brain","cold","DN10447_c0_g2_i1",1.14294756033304,NA,"Syntaxin-4-like "
"brain","cold","DN10458_c0_g1_i1",0.686782944222256,NA,""
"brain","cold","DN10460_c0_g1_i3",0.495864269146103,NA,"Microtubule-actin crosslinking factor 1 "
"brain","cold","DN10461_c0_g1_i1",-0.00240133509120272,NA,"Receptor-type tyrosine-protein phosphatase V "
"brain","cold","DN10463_c0_g1_i1",-0.903235976612349,NA,"glutamate receptor ionotropic, kainate 5-like, partial [Thamnophis sirtalis]"
"brain","cold","DN10482_c0_g2_i1",0.622643776237759,NA,""
"brain","cold","DN1048_c0_g1_i1",0.7583534403406,NA,""
"brain","cold","DN10492_c0_g1_i2",0.935492558199215,NA,"FACT complex subunit SPT16 "
"brain","cold","DN10499_c0_g1_i1",0.899015116758324,NA,"Inhibin beta A chain "
"brain","cold","DN10500_c0_g1_i1",-0.313457364497605,NA,"Serine/threonine-protein kinase 4 "
"brain","cold","DN10508_c0_g1_i1",-0.455165276832591,NA,"Protein shisa-6-like protein "
"brain","cold","DN10510_c0_g1_i1",1.44830303265254,NA,""
"brain","cold","DN10516_c0_g1_i1",-0.31363973593903,NA,""
"brain","cold","DN10519_c0_g1_i1",0.570566352553927,NA,"Haloacid dehalogenase-like hydrolase domain containing 1 "
"brain","cold","DN10521_c0_g1_i1",0.20174547912601,NA,""
"brain","cold","DN10526_c0_g1_i1",0.346251090693724,NA,"tRNA modification GTPase GTPBP3, mitochondrial "
"brain","cold","DN10529_c0_g1_i2",1.28551461519323,NA,""
"brain","cold","DN10532_c0_g1_i1",0.653784656092581,NA,"Nucleosome assembly protein 1-like 1, transcript variant X1 "
"brain","cold","DN10537_c0_g2_i1",0.248910129204851,NA,"PRDM9 "
"brain","cold","DN10548_c0_g1_i1",-1.41436655903161,NA,"Large 60S subunit nuclear export GTPase 1 "
"brain","cold","DN10562_c0_g2_i1",-1.08647632469049,NA,""
"brain","cold","DN10564_c0_g1_i1",0.513284012673264,NA,"Transmembrane protein 94 "
"brain","cold","DN10568_c0_g2_i1",0.308431726689653,NA,"Endophilin-A2 "
"brain","cold","DN10582_c0_g2_i1",-0.531603764147622,NA,"Sodium/potassium/calcium exchanger 3 "
"brain","cold","DN10597_c0_g3_i2",-0.138666108710558,NA,""
"brain","cold","DN105_c0_g2_i1",1.42640695756107,NA,""
"brain","cold","DN10613_c0_g2_i1",0.843114341358348,NA,"Vacuolar protein sorting-associated protein 13B-like protein "
"brain","cold","DN10622_c0_g1_i1",0.0878519126576579,NA,""
"brain","cold","DN10623_c0_g1_i1",0.258412863030676,NA,"Inner centromere protein "
"brain","cold","DN10633_c0_g1_i1",0.904551825059567,NA,""
"brain","cold","DN10635_c0_g1_i1",-0.876649218134619,NA,"5-formyltetrahydrofolate cyclo-ligase "
"brain","cold","DN10637_c0_g1_i1",-1.67951992684626,NA,"Nucleolar protein 58 "
"brain","cold","DN10645_c0_g1_i1",-0.771519960557417,NA,""
"brain","cold","DN10675_c0_g2_i1",-0.0371554573302699,NA,""
"brain","cold","DN10678_c0_g1_i1",-0.748949274125032,NA,""
"brain","cold","DN10684_c0_g1_i1",0.650928628771007,NA,""
"brain","cold","DN10690_c0_g1_i1",0.0191878078428897,NA,"Solute carrier family 24 member 3 "
"brain","cold","DN10699_c0_g1_i1",1.14051507523625,NA,""
"brain","cold","DN10713_c0_g2_i1",-0.75779388048272,NA,""
"brain","cold","DN10722_c0_g1_i1",0.782294413928933,NA,"MCG20929, isoform CRA b "
"brain","cold","DN10728_c0_g3_i1",-1.41483249994886,NA,""
"brain","cold","DN1072_c0_g1_i1",-0.492032424305124,NA,"pre-B-cell leukemia transcription factor 3-like [Thamnophis sirtalis]"
"brain","cold","DN10742_c0_g1_i1",0.725611210673401,NA,"Tenascin R "
"brain","cold","DN10757_c0_g1_i1",-1.68734034503393,NA,"Transient receptor potential cation channel subfamily C member 1 "
"brain","cold","DN10759_c0_g1_i1",-0.892794067457399,NA,"Solute carrier family 41 member 2-like protein "
"brain","cold","DN10764_c0_g1_i1",0.863395024987098,NA,""
"brain","cold","DN10774_c0_g2_i1",0.046982030314783,NA,""
"brain","cold","DN10782_c0_g2_i1",0.453567387716155,NA,NA
"brain","cold","DN10783_c0_g2_i1",-0.762289212412384,NA,NA
"brain","cold","DN10788_c0_g2_i1",-0.124748566388406,NA,"Rna-directed dna polymerase from mobile element jockey-like "
"brain","cold","DN10792_c0_g1_i1",1.04191054495941,NA,""
"brain","cold","DN1079_c0_g1_i1",0.416977650528154,NA,"Mitochondrial import inner membrane translocase subunit Tim10-like protein "
"brain","cold","DN10815_c0_g1_i1",0.148158033889095,NA,"Class II major histocompatibility complex transactivator "
"brain","cold","DN10818_c0_g1_i1",0.202473174048451,NA,""
"brain","cold","DN10823_c0_g4_i1",-0.796320379082768,NA,""
"brain","cold","DN10832_c0_g1_i1",-0.327384993607233,NA,"Homeobox protein Nkx-2.2 "
"brain","cold","DN10834_c0_g1_i1",-0.365327607090729,NA,""
"brain","cold","DN10846_c0_g2_i1",-1.80016412054298,NA,"Gamma-glutamyltransferase 5 "
"brain","cold","DN10852_c0_g2_i1",-2.46347777857298,NA,""
"brain","cold","DN10865_c0_g1_i1",0.651924867159913,NA,""
"brain","cold","DN10870_c0_g1_i1",0.549252498103053,NA,NA
"brain","cold","DN10876_c0_g1_i1",0.298647978459573,NA,"Rho guanine nucleotide exchange factor 40 "
"brain","cold","DN10882_c0_g1_i1",0.35133705123426,NA,"Sequestosome-1 "
"brain","cold","DN10889_c0_g2_i1",-0.0951861259883861,NA,""
"brain","cold","DN10892_c0_g1_i1",0.116198393288928,NA,""
"brain","cold","DN10912_c1_g1_i1",0.858103343911603,NA,"Octapeptide-repeat protein T2 "
"brain","cold","DN10918_c0_g2_i1",-1.01952268258372,NA,"Cyclic nucleotide-gated cation channel beta-1 "
"brain","cold","DN10948_c0_g1_i1",0.123528105487715,NA,""
"brain","cold","DN10959_c0_g2_i1",1.58717681064275,NA,""
"brain","cold","DN10963_c0_g1_i1",0.439824951174527,NA,"Phosphatidylcholine:ceramide cholinephosphotransferase 1 "
"brain","cold","DN10964_c0_g1_i1",-0.876592210919408,NA,""
"brain","cold","DN10967_c0_g1_i1",0.562688065161738,NA,""
"brain","cold","DN10968_c0_g1_i1",-1.10513015357809,NA,""
"brain","cold","DN10980_c0_g2_i1",-0.0827464723756078,NA,""
"brain","cold","DN10984_c0_g3_i1",-0.762705886695108,NA,""
"brain","cold","DN10997_c0_g2_i1",-2.02120727677296,NA,""
"brain","cold","DN11006_c0_g1_i1",0.72143508282374,NA,""
"brain","cold","DN1100_c0_g2_i1",-1.40202457159694,NA,"Rho GTPase-activating protein 11A "
"brain","cold","DN11014_c0_g2_i1",-0.274964178670366,NA,"Tubby like protein 4 "
"brain","cold","DN11020_c0_g1_i1",1.10607595344933,NA,"Mitogen-activated protein kinase binding protein 1 "
"brain","cold","DN11023_c0_g1_i1",-0.44333318801484,NA,"zinc finger protein 721-like [Thamnophis sirtalis]"
"brain","cold","DN11025_c0_g1_i1",-0.33928677020132,NA,""
"brain","cold","DN11026_c0_g1_i1",1.3031002581608,NA,""
"brain","cold","DN11027_c0_g1_i1",-0.295233004307365,NA,""
"brain","cold","DN11031_c0_g1_i1",-0.966785382946197,NA,"N-acetyltransferase 9 "
"brain","cold","DN11040_c0_g1_i1",0.326690556373007,NA,""
"brain","cold","DN11054_c0_g1_i1",-0.912499980579472,NA,"zinc finger protein 91-like [Thamnophis sirtalis]"
"brain","cold","DN11059_c0_g1_i1",0.858178126399848,NA,"L1-encoded reverse transcriptase-like protein "
"brain","cold","DN11060_c0_g2_i1",-1.70922036716277,NA,"Reverse transcriptase-like "
"brain","cold","DN11074_c0_g1_i1",0.437515793998693,NA,""
"brain","cold","DN11097_c0_g1_i1",0.336034014800871,NA,""
"brain","cold","DN11100_c0_g1_i1",-0.775480840506511,NA,""
"brain","cold","DN11103_c0_g1_i1",0.310097442409901,NA,""
"brain","cold","DN11106_c0_g2_i1",-0.166701888710536,NA,""
"brain","cold","DN1110_c0_g1_i1",0.736229285641104,NA,""
"brain","cold","DN11110_c0_g2_i1",-0.292680112814057,NA,"Response to complement 32-like protein "
"brain","cold","DN11111_c0_g2_i1",-0.922576019150232,NA,NA
"brain","cold","DN11113_c0_g1_i1",1.15650798606807,NA,""
"brain","cold","DN11126_c0_g1_i1",0.164209326829569,NA,"Cathepsin O "
"brain","cold","DN11131_c0_g1_i1",-0.736030173595589,NA,"Putative transcriptional repressor salm "
"brain","cold","DN11133_c0_g1_i1",-0.125778058218009,NA,""
"brain","cold","DN11134_c0_g2_i1",1.31834309258022,NA,"zinc finger protein 708-like [Thamnophis sirtalis]"
"brain","cold","DN11160_c0_g3_i1",0.470262976114448,NA,""
"brain","cold","DN11162_c0_g1_i1",-0.344682644564609,NA,"Mothers against decapentaplegic homolog "
"brain","cold","DN1116_c0_g1_i1",-0.926497298211316,NA,"Lipocalin-like toxin "
"brain","cold","DN11189_c1_g1_i1",-0.925972461136354,NA,"POU domain, class 6, transcription factor 2 "
"brain","cold","DN11194_c0_g1_i1",0.249357786737285,NA,""
"brain","cold","DN11209_c0_g2_i1",1.19211538612707,NA,""
"brain","cold","DN11210_c0_g2_i1",0.993242408660061,NA,""
"brain","cold","DN11216_c0_g2_i1",2.23194385038713,NA,""
"brain","cold","DN11220_c0_g1_i1",0.529419256876121,NA,"zinc finger protein 420-like [Thamnophis sirtalis]"
"brain","cold","DN11222_c0_g1_i1",-2.00061660195321,NA,"NFATC2-interacting protein "
"brain","cold","DN11227_c0_g1_i1",-1.7532013739004,NA,"Amyloid beta A4 protein-like protein "
"brain","cold","DN11231_c0_g1_i1",-1.37358951303014,NA,"huntingtin-associated protein 1 "
"brain","cold","DN11238_c0_g1_i1",0.451070052149974,NA,""
"brain","cold","DN11241_c0_g1_i1",-0.646663627800284,NA,"Cyclic nucleotide-gated cation channel beta-1 "
"brain","cold","DN11244_c0_g1_i2",0.178091696882008,NA,"Putative Polycomb group protein ASXL2 "
"brain","cold","DN11252_c0_g1_i1",-0.364030850358597,NA,"zinc finger protein 420-like [Thamnophis sirtalis]"
"brain","cold","DN11257_c0_g1_i1",-0.948174903147218,NA,"Rna-directed dna polymerase from mobile element jockey-like "
"brain","cold","DN1125_c0_g1_i1",0.507615167177913,NA,"MAM domain containing glycosylphosphatidylinositol anchor 1 "
"brain","cold","DN11270_c0_g1_i1",0.230343810502404,NA,""
"brain","cold","DN11278_c0_g2_i1",0.894542739118613,NA,""
"brain","cold","DN11287_c0_g1_i1",-1.9277241712635,NA,""
"brain","cold","DN11296_c0_g1_i1",-0.552456312888419,NA,""
"brain","cold","DN11305_c0_g1_i1",-0.759991795851911,NA,""
"brain","cold","DN11313_c0_g2_i1",0.75885280358514,NA,"E3 ubiquitin-protein ligase parkin "
"brain","cold","DN11318_c0_g2_i1",-0.652362099844601,NA,"Homeobox protein Hox-A5 "
"brain","cold","DN11326_c0_g1_i1",-0.00793756061781803,NA,""
"brain","cold","DN11333_c0_g1_i1",-0.554638266439148,NA,""
"brain","cold","DN11345_c0_g1_i1",0.334269119801946,NA,"alpha 1 microglobulin(Pfam=PF00061.23 Lipocalin)"
"brain","cold","DN11362_c0_g2_i1",-0.0333797936744836,NA,"Protein OSCP1-like "
"brain","cold","DN11368_c0_g1_i1",0.947062346263123,NA,""
"brain","cold","DN11370_c0_g1_i3",-1.11733679815596,NA,""
"brain","cold","DN11378_c0_g2_i2",-0.648535316508948,NA,"Uracil phosphoribosyltransferase homolog "
"brain","cold","DN11381_c0_g3_i2",0.52159335903868,NA,"NODAL modulator 2 "
"brain","cold","DN1138_c0_g2_i1",0.379158317533786,NA,"endogenous retrovirus group K member 9 Gag polyprotein [Thamnophis sirtalis]"
"brain","cold","DN11395_c0_g1_i1",0.669991832218365,NA,""
"brain","cold","DN11403_c0_g2_i1",0.332088881435995,NA,NA
"brain","cold","DN11409_c0_g2_i1",0.236529594442278,NA,""
"brain","cold","DN1140_c0_g1_i1",-0.0480733194916775,NA,"Nesprin-1 "
"brain","cold","DN11411_c0_g1_i1",0.250796173371078,NA,""
"brain","cold","DN11415_c0_g3_i1",-0.249310243985886,NA,NA
"brain","cold","DN11423_c0_g1_i1",1.05430810545774,NA,"zinc finger protein 420-like [Thamnophis sirtalis]"
"brain","cold","DN11426_c0_g2_i1",-1.11549764147562,NA,""
"brain","cold","DN11432_c0_g2_i1",0.290636620432593,NA,""
"brain","cold","DN11435_c0_g3_i1",-0.958627888744836,NA,"Neurofilament heavy polypeptide "
"brain","cold","DN11444_c0_g1_i2",1.47002697724397,NA,""
"brain","cold","DN11457_c0_g1_i1",-1.07632552448302,NA,""
"brain","cold","DN11460_c0_g1_i1",-0.408779063895055,NA,NA
"brain","cold","DN11464_c0_g2_i1",0.449309177169026,NA,"Exosome complex exonuclease RRP45-like "
"brain","cold","DN11467_c0_g1_i1",0.833972136052825,NA,NA
"brain","cold","DN11468_c0_g1_i1",0.253085169941361,NA,""
"brain","cold","DN11469_c0_g2_i1",1.05817512397611,NA,""
"brain","cold","DN11474_c0_g1_i1",-0.195409925131616,NA,""
"brain","cold","DN11479_c0_g1_i2",0.512390096385424,NA,"Matrix-remodeling-associated protein 8 "
"brain","cold","DN11497_c0_g2_i1",-0.886095448964149,NA,""
"brain","cold","DN1149_c0_g1_i1",-0.110921062315028,NA,"Acetyl-CoA carboxylase "
"brain","cold","DN11509_c0_g2_i1",1.20000202031882,NA,""
"brain","cold","DN11517_c0_g3_i1",-1.3139799840694,NA,NA
"brain","cold","DN11534_c0_g1_i1",-1.16781609217148,NA,""
"brain","cold","DN11539_c0_g1_i1",-0.100592209219648,NA,"Protein FAM48A "
"brain","cold","DN11542_c0_g1_i1",-0.109811990684583,NA,"Zinc finger protein "
"brain","cold","DN11545_c0_g1_i1",-0.0332932273588114,NA,"Pentatricopeptide repeat-containing protein 1 "
"brain","cold","DN11551_c0_g1_i1",0.560223639001295,NA,""
"brain","cold","DN11555_c0_g2_i1",-0.39411433064319,NA,""
"brain","cold","DN1155_c0_g2_i1",0.554296749527434,NA,""
"brain","cold","DN11570_c0_g1_i1",-0.690557869210819,NA,"zinc finger protein 135-like "
"brain","cold","DN11575_c0_g1_i1",0.826491292711487,NA,"LysinetRNA ligase "
"brain","cold","DN11577_c1_g1_i1",-0.0543958421922923,NA,"Ubiquitin carboxyl-terminal hydrolase 35 "
"brain","cold","DN11581_c0_g1_i1",-1.05532406083613,NA,""
"brain","cold","DN11582_c0_g1_i1",-0.214596472688758,NA,"Tyrosine-protein phosphatase non-receptor type 11 "
"brain","cold","DN11583_c0_g1_i1",0.860937552345162,NA,""
"brain","cold","DN11616_c0_g2_i1",-0.173509226448567,NA,"Zinc finger protein 236 "
"brain","cold","DN1161_c0_g1_i1",0.154001764239646,NA,""
"brain","cold","DN11620_c0_g1_i1",-0.0390038092158567,NA,"UbiA prenyltransferase domain-containing protein 1 "
"brain","cold","DN11624_c0_g3_i1",0.32900376613981,NA,NA
"brain","cold","DN11639_c0_g1_i1",1.03125879782985,NA,"TRAF-type zinc finger domain-containing protein 1 "
"brain","cold","DN11641_c0_g1_i1",-0.0133140175697587,NA,"Zinc finger protein "
"brain","cold","DN11642_c0_g1_i1",-0.44081640215393,NA,""
"brain","cold","DN11646_c0_g2_i1",-0.512191494893694,NA,""
"brain","cold","DN11656_c0_g1_i1",-0.781304550389183,NA,""
"brain","cold","DN11662_c0_g1_i1",-0.690421149745825,NA,"Serine/arginine repetitive matrix protein 3 "
"brain","cold","DN11667_c0_g1_i1",-0.809324628681868,NA,"N-acetylglucosamine-6-sulfatase "
"brain","cold","DN11676_c0_g1_i1",-0.926338631455722,NA,"Serine/threonine-protein phosphatase "
"brain","cold","DN11685_c0_g1_i1",-0.746369303522949,NA,""
"brain","cold","DN11687_c0_g1_i1",-0.5827108075708,NA,""
"brain","cold","DN11699_c0_g1_i2",-0.117498436131384,NA,"Tropomyosin 3, gamma "
"brain","cold","DN11706_c0_g2_i1",1.44661190878462,NA,"C6orf89 "
"brain","cold","DN11709_c0_g1_i1",0.302698960878456,NA,"Neuron navigator 1 "
"brain","cold","DN11712_c0_g1_i1",-0.640835834808008,NA,""
"brain","cold","DN11715_c0_g2_i1",-0.92701848893873,NA,"TBK1 binding protein 1 "
"brain","cold","DN1172_c0_g1_i1",0.321665836220389,NA,""
"brain","cold","DN11734_c2_g1_i1",-0.434990195369542,NA,"E3 ubiquitin-protein ligase BRE1A "
"brain","cold","DN11763_c0_g1_i1",0.252869258323999,NA,"Calcipressin-1 "
"brain","cold","DN11766_c0_g1_i1",-0.681269304752416,NA,"Thymocyte selection associated high mobility group box "
"brain","cold","DN11775_c0_g1_i1",0.369633348613769,NA,""
"brain","cold","DN11779_c0_g1_i1",-0.420804632772971,NA,"GATA-binding factor 3 "
"brain","cold","DN11798_c0_g3_i1",-1.04475540633729,NA,"tRNA selenocysteine 1-associated protein 1 "
"brain","cold","DN11801_c0_g1_i1",-0.00716328969084649,NA,""
"brain","cold","DN11802_c0_g3_i1",0.227406632362042,NA,""
"brain","cold","DN11805_c1_g1_i1",1.14091354205078,NA,"WD repeat domain 11 "
"brain","cold","DN11816_c0_g2_i1",0.559497060077081,NA,"Calmodulin-lysine n-methyltransferase "
"brain","cold","DN11842_c0_g1_i1",0.559145812260977,NA,""
"brain","cold","DN11843_c0_g2_i1",-0.12577099893985,NA,"Octapeptide-repeat protein T2 "
"brain","cold","DN11846_c0_g1_i1",0.639474569220341,NA,""
"brain","cold","DN11848_c0_g1_i1",-0.519606230856665,NA,""
"brain","cold","DN11857_c0_g1_i1",0.271170895451892,NA,""
"brain","cold","DN11864_c0_g1_i1",0.548130523366206,NA,""
"brain","cold","DN1186_c0_g2_i1",-1.76373934572109,NA,""
"brain","cold","DN11873_c0_g1_i1",0.297316083503123,NA,""
"brain","cold","DN11874_c0_g1_i1",0.587562980109865,NA,NA
"brain","cold","DN11875_c1_g1_i1",0.918200444445868,NA,""
"brain","cold","DN11887_c0_g2_i1",0.23134508096549,NA,""
"brain","cold","DN11888_c0_g1_i1",-1.75457957494607,NA,"Sphingomyelin phosphodiesterase 2 "
"brain","cold","DN11895_c0_g1_i1",1.79721483659174,NA,""
"brain","cold","DN11897_c0_g1_i1",-0.55784751061808,NA,"Octapeptide-repeat protein T2 "
"brain","cold","DN11908_c0_g1_i1",-0.150414732560212,NA,"Transcriptional enhancer factor TEF-5 "
"brain","cold","DN11935_c0_g1_i1",1.0300005217275,NA,"Mitochondrial chaperone BCS1 "
"brain","cold","DN11940_c0_g2_i2",0.30619296540888,NA,"Structural maintenance of chromosomes protein 3-like protein "
"brain","cold","DN11944_c0_g1_i1",0.0232007692325914,NA,""
"brain","cold","DN11946_c0_g2_i1",-0.701458242831686,NA,NA
"brain","cold","DN11949_c0_g1_i1",0.133075709802035,NA,""
"brain","cold","DN1194_c0_g1_i1",1.62276851885078,NA,""
