"term","name","level","nseqs","delta.rank","direction","pval","p.adj","tissue","condition"
"GO:0009892","negative regulation of metabolic process",5,236,241.615834990374,"up",0.0028727763136476,0.0495931910987586,"Brain","Cold"
"GO:0048585","negative regulation of response to stimulus",4,112,343.296436651584,"up",0.00305190512017792,0.0500512439709178,"Brain","Cold"
"GO:0033365","protein localization to organelle",4,49,506.135605257048,"up",0.00353982617224371,0.0552887135474256,"Brain","Cold"
"GO:0009150","purine ribonucleotide metabolic process",5,58,-564.203366577775,"down",0.000551464683010363,0.0602934720091331,"Brain","Cold"
"GO:0060255","regulation of macromolecule metabolic process",5,860,130.887418300654,"up",0.00413786980982617,0.0616918771646811,"Brain","Cold"
"GO:0009259","ribonucleotide metabolic process",5,61,-510.435960708537,"down",0.00123790884661072,0.0626113084879707,"Brain","Cold"
"GO:0032787","monocarboxylic acid metabolic process",7,51,-562.337967277962,"down",0.00113699262893574,0.0626113084879707,"Brain","Cold"
"GO:0019693","ribose phosphate metabolic process",4,61,-510.435960708537,"down",0.00123790884661072,0.0626113084879707,"Brain","Cold"
"GO:0009141","nucleoside triphosphate metabolic process",6,47,-576.15599041723,"down",0.0013362169494384,0.0626113084879707,"Brain","Cold"
"GO:0019222","regulation of metabolic process",4,898,123.288967227361,"up",0.00572781055403948,0.0816835592054326,"Brain","Cold"
"GO:0070201","regulation of establishment of protein localization",5,41,513.216123303518,"up",0.00620752778837016,0.0848362131077256,"Brain","Cold"
"GO:0048523","negative regulation of cellular process",4,466,157.461237225268,"up",0.00693372915163978,0.0909705264695139,"Brain","Cold"
"GO:0006163","purine nucleotide metabolic process",4,67,-456.275315471913,"down",0.00230429642971588,0.0944761536183512,"Brain","Cold"
"GO:0005975","carbohydrate metabolic process",4,100,-369.135081227437,"down",0.00263629950488578,0.0960784708447261,"Brain","Cold"
"GO:0043933","protein-containing complex organization",4,202,226.066311481033,"up",0.00819170541557898,0.103341514473458,"Brain","Cold"
"GO:0043412","macromolecule modification",4,759,120.663393985488,"up",0.0102201056122908,0.111739821361046,"Brain","Cold"
"GO:0019219","regulation of nucleobase-containing compound metabolic process",6,616,132.171184152925,"up",0.00988928262429851,0.111739821361046,"Brain","Cold"
"GO:0032880","regulation of protein localization",4,67,375.423302301482,"up",0.00987297495459567,0.111739821361046,"Brain","Cold"
"GO:0009889","regulation of biosynthetic process",5,723,124.435906513909,"up",0.00952973898828599,0.111739821361046,"Brain","Cold"
"GO:0048522","positive regulation of cellular process",4,451,149.255538754849,"up",0.0107573801865343,0.113820022618814,"Brain","Cold"
"GO:0010556","regulation of macromolecule biosynthetic process",6,716,119.320426782849,"up",0.012573557150784,0.128878960795536,"Brain","Cold"
"GO:0009117","nucleotide metabolic process",6,90,-368.756386012307,"down",0.00406066325094171,0.133189754630888,"Brain","Cold"
"GO:2001141","regulation of RNA biosynthetic process",7,572,128.443881118881,"up",0.0140946766342663,0.140092543516343,"Brain","Cold"
"GO:0043436","oxoacid metabolic process",5,99,-337.47815625235,"down",0.00557237671934012,0.140595351072582,"Brain","Cold"
"GO:0006082","organic acid metabolic process",4,99,-337.47815625235,"down",0.00557237671934012,0.140595351072582,"Brain","Cold"
"GO:0046434","organophosphate catabolic process",4,32,-598.696083333333,"down",0.00495154912386981,0.140595351072582,"Brain","Cold"
"GO:0006338","chromatin remodeling",5,52,396.277644230769,"up",0.0149509238440714,0.144232441789866,"Brain","Cold"
"GO:0051252","regulation of RNA metabolic process",6,591,124.239669645031,"up",0.0156753817753087,0.146900720637179,"Brain","Cold"
"GO:0010604","positive regulation of macromolecule metabolic process",6,222,191.48815451182,"up",0.0167320179676244,0.148327078199481,"Brain","Cold"
"GO:0010468","regulation of gene expression",7,707,113.944579600817,"up",0.0166985940389749,0.148327078199481,"Brain","Cold"
"GO:0030334","regulation of cell migration",5,76,315.621810923179,"up",0.0185261557872358,0.159909976268772,"Brain","Cold"
"GO:2000145","regulation of cell motility",4,78,303.936156494306,"up",0.0209870456912239,0.172093774668036,"Brain","Cold"
"GO:0009893","positive regulation of metabolic process",5,242,176.394320830685,"up",0.020653357127133,0.172093774668036,"Brain","Cold"
"GO:0051960","regulation of nervous system development",5,36,442.319123171214,"up",0.0216813552495203,0.173450841996162,"Brain","Cold"
"GO:0036211","protein modification process",5,728,104.608835696375,"up",0.0240588835803425,0.187888424151246,"Brain","Cold"
"GO:0030030","cell projection organization",4,152,207.709859408796,"up",0.0271740602643914,0.202570267425463,"Brain","Cold"
"GO:0008033","tRNA processing",5,32,447.629416666667,"up",0.0269039826162391,0.202570267425463,"Brain","Cold"
"GO:0120036","plasma membrane bounded cell projection organization",5,127,224.90485936704,"up",0.0280835042417572,0.204697542028808,"Brain","Cold"
"GO:0072657","protein localization to membrane",4,34,420.804017471818,"up",0.0308676197390281,0.220099549443505,"Brain","Cold"
"GO:0051254","positive regulation of RNA metabolic process",7,116,226.398285232383,"up",0.0329157837438496,0.224202555678414,"Brain","Cold"
"GO:0072594","establishment of protein localization to organelle",4,33,418.05927243091,"up",0.0337215337612645,0.224202555678414,"Brain","Cold"
"GO:0045935","positive regulation of nucleobase-containing compound metabolic process",6,125,217.68819786703,"up",0.0333076491851637,0.224202555678414,"Brain","Cold"
"GO:0031399","regulation of protein modification process",7,114,226.225671693947,"up",0.0341772188534168,0.224202555678414,"Brain","Cold"
"GO:0051241","negative regulation of multicellular organismal process",4,65,295.804094987171,"up",0.0351845287904838,0.226284812613308,"Brain","Cold"
"GO:2000026","regulation of multicellular organismal development",4,88,246.050405040504,"up",0.0403336114816153,0.254412010884035,"Brain","Cold"
"GO:1903829","positive regulation of protein localization",4,30,413.839449133718,"up",0.0421219856703339,0.255852061108695,"Brain","Cold"
"GO:0045595","regulation of cell differentiation",4,88,244.300517551755,"up",0.0414231975794083,0.255852061108695,"Brain","Cold"
"GO:0019752","carboxylic acid metabolic process",6,97,-307.167191622404,"down",0.0110914954985896,0.259857894538385,"Brain","Cold"
"GO:0007346","regulation of mitotic cell cycle",5,48,324.773119238775,"up",0.0435851978060088,0.259926270552198,"Brain","Cold"
"GO:0009966","regulation of signal transduction",4,348,122.395548998923,"up",0.0468013128557691,0.274121975298076,"Brain","Cold"
"GO:0045785","positive regulation of cell adhesion",5,30,-524.069124833407,"down",0.0143901802706423,0.300182856482125,"Brain","Cold"
"GO:0032535","regulation of cellular component size",4,39,-458.652045632237,"down",0.0146430661698597,0.300182856482125,"Brain","Cold"
"GO:0002684","positive regulation of immune system process",4,41,-440.509582851339,"down",0.0159394801799568,0.307538205825049,"Brain","Cold"
"GO:0060341","regulation of cellular localization",4,38,342.928020987047,"up",0.0538299166913991,0.309758117101385,"Brain","Cold"
"GO:0009451","RNA modification",5,32,369.830083333333,"up",0.0555566098717587,0.314182207550635,"Brain","Cold"
"GO:0032886","regulation of microtubule-based process",4,33,355.848707120101,"up",0.0597859064022078,0.332369106778376,"Brain","Cold"
"GO:0016042","lipid catabolic process",4,39,-438.762941784086,"down",0.0185304114347062,0.337665275032424,"Brain","Cold"
"GO:0006643","membrane lipid metabolic process",5,31,-484.394019966889,"down",0.0199816694063223,0.344946713961775,"Brain","Cold"
"GO:0042127","regulation of cell population proliferation",4,112,189.980736910149,"up",0.0645709464912025,0.347201154903515,"Brain","Cold"
"GO:0008284","positive regulation of cell population proliferation",5,38,323.979668798163,"up",0.0642675498003589,0.347201154903515,"Brain","Cold"
"GO:0097485","neuron projection guidance",7,32,347.673638888889,"up",0.0670982626363958,0.354971453947384,"Brain","Cold"
"GO:0009896","positive regulation of catabolic process",6,39,307.479338229839,"up",0.0719819506414518,0.374763171593591,"Brain","Cold"
"GO:1901136","carbohydrate derivative catabolic process",4,35,-433.159515867721,"down",0.0255340051889392,0.380688804635093,"Brain","Cold"
"GO:0006753","nucleoside phosphate metabolic process",5,114,-245.54497152796,"down",0.0239463889374583,0.380688804635093,"Brain","Cold"
"GO:0019637","organophosphate metabolic process",4,196,-187.960553317268,"down",0.0245820174968133,0.380688804635093,"Brain","Cold"
"GO:0051260","protein homooligomerization",7,38,304.527088749912,"up",0.0765536783534327,0.392337601561343,"Brain","Cold"
"GO:0007507","heart development",4,33,324.163443728236,"up",0.0781000596168802,0.394104916220565,"Brain","Cold"
"GO:0022900","electron transport chain",4,58,-329.440275615433,"down",0.0283786190368177,0.404703784525052,"Brain","Cold"
"GO:0070647","protein modification by small protein conjugation or removal",7,193,132.083462797355,"up",0.0849988837562746,0.421668130687168,"Brain","Cold"
"GO:0007399","nervous system development",4,33,312.044898866415,"up",0.086133429134269,0.421668130687168,"Brain","Cold"
"GO:0051174","regulation of phosphorus metabolic process",5,120,161.638251737685,"up",0.0909041616739043,0.425950928986294,"Brain","Cold"
"GO:0019220","regulation of phosphate metabolic process",6,120,161.638251737685,"up",0.0909041616739043,0.425950928986294,"Brain","Cold"
"GO:0008285","negative regulation of cell population proliferation",5,51,247.441397447173,"up",0.0896563316225071,0.425950928986294,"Brain","Cold"
"GO:0042981","regulation of apoptotic process",5,103,173.094152178821,"up",0.0922147604881075,0.426006217466187,"Brain","Cold"
"GO:0043687","post-translational protein modification",6,194,125.695023123393,"up",0.0952556214441679,0.433942275467876,"Brain","Cold"
"GO:0022603","regulation of anatomical structure morphogenesis",4,82,180.596908742121,"up",0.107768445907898,0.484219866545077,"Brain","Cold"
"GO:0071805","potassium ion transmembrane transport",5,36,266.645882759984,"up",0.111645529787262,0.494861267165159,"Brain","Cold"
"GO:0018212","peptidyl-tyrosine modification",7,38,256.705057035111,"up",0.114240314432192,0.499610975116787,"Brain","Cold"
"GO:0051247","positive regulation of protein metabolic process",7,95,157.023104753093,"up",0.123565591871116,0.50036437202131,"Brain","Cold"
"GO:0006399","tRNA metabolic process",6,73,183.385420282821,"up",0.117459865421233,0.50036437202131,"Brain","Cold"
"GO:0016311","dephosphorylation",5,116,142.61587956022,"up",0.12327031836366,0.50036437202131,"Brain","Cold"
"GO:0042176","regulation of protein catabolic process",6,37,254.632919460061,"up",0.119225530802605,0.50036437202131,"Brain","Cold"
"GO:0042325","regulation of phosphorylation",7,105,150.130695838308,"up",0.122614178440454,0.50036437202131,"Brain","Cold"
"GO:0043067","regulation of programmed cell death",4,104,151.21034848169,"up",0.122025895912703,0.50036437202131,"Brain","Cold"
"GO:0051493","regulation of cytoskeleton organization",6,81,164.61498733812,"up",0.130909743737761,0.511354586713952,"Brain","Cold"
"GO:0044057","regulation of system process",4,33,257.831962658368,"up",0.129701218313731,0.511354586713952,"Brain","Cold"
"GO:0006996","organelle organization",4,365,80.1287861902556,"up",0.130956662451134,0.511354586713952,"Brain","Cold"
"GO:0055086","nucleobase-containing small molecule metabolic process",4,118,-217.345480097993,"down",0.0374753111501733,0.512162585719035,"Brain","Cold"
"GO:0006468","protein phosphorylation",6,324,82.7558559827257,"up",0.1363198025964,0.526034061783753,"Brain","Cold"
"GO:0006401","RNA catabolic process",6,30,260.49101140234,"up",0.138570140169575,0.528500069483961,"Brain","Cold"
"GO:0015698","inorganic anion transport",4,37,-371.751255148363,"down",0.0426149038062485,0.55910753793798,"Brain","Cold"
"GO:0006470","protein dephosphorylation",6,93,140.238002843806,"up",0.153173416132759,0.570919096494828,"Brain","Cold"
"GO:0030705","cytoskeleton-dependent intracellular transport",4,31,242.773534196702,"up",0.15162842836781,0.570919096494828,"Brain","Cold"
"GO:0010646","regulation of cell communication",4,380,70.5697799411823,"up",0.157129631643595,0.572650213101101,"Brain","Cold"
"GO:0035335","peptidyl-tyrosine dephosphorylation",7,64,166.681974597135,"up",0.155801388586461,0.572650213101101,"Brain","Cold"
"GO:0018108","peptidyl-tyrosine phosphorylation",7,37,213.377181853711,"up",0.161611491849062,0.582511750840576,"Brain","Cold"
"GO:0043066","negative regulation of apoptotic process",6,50,178.448763944667,"up",0.168779863124224,0.595266614029522,"Brain","Cold"
"GO:0051093","negative regulation of developmental process",4,56,168.926640495341,"up",0.168499469421693,0.595266614029522,"Brain","Cold"
"GO:0015748","organophosphate ester transport",4,35,-371.252847930366,"down",0.047254566963417,0.596134537076954,"Brain","Cold"
"GO:1901293","nucleoside phosphate biosynthetic process",5,69,-254.549445196739,"down",0.0543972961271921,0.597739448635185,"Brain","Cold"
"GO:0006508","proteolysis",5,274,-130.573148697343,"down",0.054671291033706,0.597739448635185,"Brain","Cold"
"GO:0090407","organophosphate biosynthetic process",4,114,-203.945938862548,"down",0.050175397884751,0.597739448635185,"Brain","Cold"
"GO:0055080","monoatomic cation homeostasis",4,60,-277.389072748957,"down",0.0514227559624331,0.597739448635185,"Brain","Cold"
"GO:1902531","regulation of intracellular signal transduction",5,204,87.4409001123558,"up",0.175472763983091,0.608632060085129,"Brain","Cold"
"GO:0043408","regulation of MAPK cascade",6,43,182.322918555435,"up",0.181583187896571,0.608632060085129,"Brain","Cold"
"GO:0033043","regulation of organelle organization",5,127,108.047494346975,"up",0.179454164338119,0.608632060085129,"Brain","Cold"
"GO:0006886","intracellular protein transport",4,138,102.752000422183,"up",0.181847383805923,0.608632060085129,"Brain","Cold"
"GO:0009891","positive regulation of biosynthetic process",6,155,97.8665104247275,"up",0.180062538143899,0.608632060085129,"Brain","Cold"
"GO:0030832","regulation of actin filament length",5,31,-361.846084382682,"down",0.0624617250940978,0.613605205061861,"Brain","Cold"
"GO:0006417","regulation of translation",7,43,-311.408155335782,"down",0.0601863478927229,0.613605205061861,"Brain","Cold"
"GO:0006874","intracellular calcium ion homeostasis",5,33,-348.675261169149,"down",0.0636054175978758,0.613605205061861,"Brain","Cold"
"GO:0008064","regulation of actin polymerization or depolymerization",6,31,-361.846084382682,"down",0.0624617250940978,0.613605205061861,"Brain","Cold"
"GO:0051246","regulation of protein metabolic process",6,221,80.7642052163728,"up",0.185406703432858,0.614276754807851,"Brain","Cold"
"GO:0030003","intracellular monoatomic cation homeostasis",5,53,-269.825314781349,"down",0.0677888675411556,0.617631904263862,"Brain","Cold"
"GO:0006873","intracellular monoatomic ion homeostasis",4,53,-269.825314781349,"down",0.0677888675411556,0.617631904263862,"Brain","Cold"
"GO:0006351","DNA-templated transcription",7,197,82.8793025720292,"up",0.192287881059115,0.61833749987637,"Brain","Cold"
"GO:0060284","regulation of cell development",5,48,166.155646000595,"up",0.190764581394299,0.61833749987637,"Brain","Cold"
"GO:0007600","sensory perception",4,44,173.709224598931,"up",0.190432383320589,0.61833749987637,"Brain","Cold"
"GO:0051259","protein complex oligomerization",6,52,156.273849587912,"up",0.195925811777606,0.621302133824978,"Brain","Cold"
"GO:0051726","regulation of cell cycle",4,135,97.4548538987019,"up",0.196998237554261,0.621302133824978,"Brain","Cold"
"GO:0043069","negative regulation of programmed cell death",5,52,152.96667239011,"up",0.200975403087043,0.627808878214763,"Brain","Cold"
"GO:0006629","lipid metabolic process",4,174,-148.637780696618,"down",0.0708591623859177,0.628156898988676,"Brain","Cold"
"GO:0010647","positive regulation of cell communication",5,111,102.783182639776,"up",0.206851268088758,0.628214962343636,"Brain","Cold"
"GO:0010557","positive regulation of macromolecule biosynthetic process",7,151,89.5636062406752,"up",0.204122624090577,0.628214962343636,"Brain","Cold"
"GO:0023056","positive regulation of signaling",4,111,102.783182639776,"up",0.206851268088758,0.628214962343636,"Brain","Cold"
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",7,38,166.58096175017,"up",0.217265885203745,0.636278663810967,"Brain","Cold"
"GO:0000375","RNA splicing, via transesterification reactions",6,38,166.58096175017,"up",0.217265885203745,0.636278663810967,"Brain","Cold"
"GO:0141188","nucleic acid catabolic process",5,31,184.568948835743,"up",0.216918426326936,0.636278663810967,"Brain","Cold"
"GO:0000398","mRNA splicing, via spliceosome",6,38,166.58096175017,"up",0.217265885203745,0.636278663810967,"Brain","Cold"
"GO:0032271","regulation of protein polymerization",6,33,-314.853226642957,"down",0.0842188841154143,0.638744886477545,"Brain","Cold"
"GO:0043632","modification-dependent macromolecule catabolic process",5,101,-182.902900581189,"down",0.0824038545488104,0.638744886477545,"Brain","Cold"
"GO:0006511","ubiquitin-dependent protein catabolic process",7,101,-182.902900581189,"down",0.0824038545488104,0.638744886477545,"Brain","Cold"
"GO:0019941","modification-dependent protein catabolic process",6,101,-182.902900581189,"down",0.0824038545488104,0.638744886477545,"Brain","Cold"
"GO:0009165","nucleotide biosynthetic process",6,56,-230.147405208732,"down",0.0954222543823162,0.638744886477545,"Brain","Cold"
"GO:0006650","glycerophospholipid metabolic process",6,53,-245.636778762106,"down",0.0871261573905819,0.638744886477545,"Brain","Cold"
"GO:0046488","phosphatidylinositol metabolic process",7,39,-276.882706432228,"down",0.094123620686442,0.638744886477545,"Brain","Cold"
"GO:0050776","regulation of immune response",4,40,-289.706990204809,"down",0.0816418277257772,0.638744886477545,"Brain","Cold"
"GO:0046486","glycerolipid metabolic process",5,58,-227.759668891526,"down",0.0938968257046719,0.638744886477545,"Brain","Cold"
"GO:0055074","calcium ion homeostasis",4,34,-318.003374048596,"down",0.0790066501727354,0.638744886477545,"Brain","Cold"
"GO:0043547","positive regulation of GTPase activity",6,115,-164.134496165999,"down",0.0920837654652642,0.638744886477545,"Brain","Cold"
"GO:0051345","positive regulation of hydrolase activity",5,122,-157.603286123192,"down",0.0946953992540538,0.638744886477545,"Brain","Cold"
"GO:0051128","regulation of cellular component organization",4,227,66.8854165067769,"up",0.226438809218587,0.657273711714129,"Brain","Cold"
"GO:0044283","small molecule biosynthetic process",4,53,132.540577200942,"up",0.231753513647675,0.664347914295785,"Brain","Cold"
"GO:0060627","regulation of vesicle-mediated transport",4,39,153.461635478551,"up",0.232926860195168,0.664347914295785,"Brain","Cold"
"GO:0051603","proteolysis involved in protein catabolic process",6,112,-154.286110213316,"down",0.108905008337519,0.673978164805776,"Brain","Cold"
"GO:0072522","purine-containing compound biosynthetic process",4,46,-240.352633313303,"down",0.107580762575983,0.673978164805776,"Brain","Cold"
"GO:0034655","nucleobase-containing compound catabolic process",4,56,-217.762223924422,"down",0.10791575421239,0.673978164805776,"Brain","Cold"
"GO:0006869","lipid transport",4,52,-226.230374313187,"down",0.107562105271101,0.673978164805776,"Brain","Cold"
"GO:0006813","potassium ion transport",7,48,132.718164585192,"up",0.242286063044975,0.685084729989239,"Brain","Cold"
"GO:0015074","DNA integration",6,45,-236.964019513161,"down",0.113370090704481,0.688618328723513,"Brain","Cold"
"GO:0050804","modulation of chemical synaptic transmission",5,35,-257.718898313161,"down",0.122879053405546,0.71972016994677,"Brain","Cold"
"GO:0099177","regulation of trans-synaptic signaling",4,35,-257.718898313161,"down",0.122879053405546,0.71972016994677,"Brain","Cold"
"GO:0007167","enzyme-linked receptor protein signaling pathway",4,67,105.022780832679,"up",0.257171245310842,0.720958704803043,"Brain","Cold"
"GO:0016070","RNA metabolic process",5,433,38.7802297298899,"up",0.278761237640019,0.733948017050914,"Brain","Cold"
"GO:0071826","protein-RNA complex organization",5,40,122.027025823686,"up",0.278542493161226,0.733948017050914,"Brain","Cold"
"GO:0043413","macromolecule glycosylation",4,43,123.156895149383,"up",0.269530180122407,0.733948017050914,"Brain","Cold"
"GO:0006486","protein glycosylation",5,43,123.156895149383,"up",0.269530180122407,0.733948017050914,"Brain","Cold"
"GO:0045787","positive regulation of cell cycle",5,30,142.644247001333,"up",0.275895430244606,0.733948017050914,"Brain","Cold"
"GO:0016071","mRNA metabolic process",6,98,78.0030653668773,"up",0.279705799180989,0.733948017050914,"Brain","Cold"
"GO:0051338","regulation of transferase activity",4,73,94.5155772379703,"up",0.270218524229858,0.733948017050914,"Brain","Cold"
"GO:0022618","protein-RNA complex assembly",6,40,122.027025823686,"up",0.278542493161226,0.733948017050914,"Brain","Cold"
"GO:0045596","negative regulation of cell differentiation",5,34,128.137786728742,"up",0.284735067893896,0.741215097374585,"Brain","Cold"
"GO:0008610","lipid biosynthetic process",4,69,-168.382474906396,"down",0.144395814174786,0.745056588932349,"Brain","Cold"
"GO:0008654","phospholipid biosynthetic process",5,38,-233.935188438385,"down",0.136221054658336,0.745056588932349,"Brain","Cold"
"GO:0006281","DNA repair",5,104,-138.96787054409,"down",0.142174593078398,0.745056588932349,"Brain","Cold"
"GO:0006259","DNA metabolic process",5,272,-85.424789422811,"down",0.148259049746099,0.745056588932349,"Brain","Cold"
"GO:0098657","import into cell",4,64,-177.158040510295,"down",0.141083523306722,0.745056588932349,"Brain","Cold"
"GO:0015914","phospholipid transport",5,31,-260.247901899936,"down",0.134887944879377,0.745056588932349,"Brain","Cold"
"GO:0046903","secretion",4,56,-182.414735733435,"down",0.149919923382729,0.745056588932349,"Brain","Cold"
"GO:0051276","chromosome organization",5,40,-218.402649154052,"down",0.14663605305513,0.745056588932349,"Brain","Cold"
"GO:0006644","phospholipid metabolic process",5,65,-175.384677377693,"down",0.141665977811955,0.745056588932349,"Brain","Cold"
"GO:1901137","carbohydrate derivative biosynthetic process",4,77,-165.255796055796,"down",0.135928887676994,0.745056588932349,"Brain","Cold"
"GO:0006820","monoatomic anion transport",5,36,-224.14158264136,"down",0.152991355718827,0.748972607101126,"Brain","Cold"
"GO:0032774","RNA biosynthetic process",6,221,49.3452002716399,"up",0.292263051270558,0.754821108793252,"Brain","Cold"
"GO:0009894","regulation of catabolic process",5,82,76.8663962729515,"up",0.299060720327729,0.765293066295845,"Brain","Cold"
"GO:0009967","positive regulation of signal transduction",5,101,68.0866844978336,"up",0.302553659134751,0.765293066295845,"Brain","Cold"
"GO:0010564","regulation of cell cycle process",5,68,82.3234503478811,"up",0.303317373836768,0.765293066295845,"Brain","Cold"
"GO:0046474","glycerophospholipid biosynthetic process",6,31,-233.711547971418,"down",0.160831896401785,0.775777382643902,"Brain","Cold"
"GO:0030111","regulation of Wnt signaling pathway",5,37,105.441926464841,"up",0.312730758766914,0.777088552087483,"Brain","Cold"
"GO:0018193","peptidyl-amino acid modification",6,114,60.6573824783777,"up",0.312534120775934,0.777088552087483,"Brain","Cold"
"GO:0016050","vesicle organization",5,30,101.337479638679,"up",0.336243875553243,0.78448669165904,"Brain","Cold"
"GO:0120039","plasma membrane bounded cell projection morphogenesis",4,40,93.727248441674,"up",0.325999033966545,0.78448669165904,"Brain","Cold"
"GO:0010975","regulation of neuron projection development",7,42,90.1209035952911,"up",0.328432450474217,0.78448669165904,"Brain","Cold"
"GO:0061024","membrane organization",4,92,62.252869173521,"up",0.32575610707632,0.78448669165904,"Brain","Cold"
"GO:0010562","positive regulation of phosphorus metabolic process",6,65,69.2001928673521,"up",0.336044393145513,0.78448669165904,"Brain","Cold"
"GO:0034762","regulation of transmembrane transport",4,73,62.994141447035,"up",0.341643723962316,0.78448669165904,"Brain","Cold"
"GO:0043086","negative regulation of catalytic activity",4,67,67.1494375825241,"up",0.338369637148869,0.78448669165904,"Brain","Cold"
"GO:0140694","membraneless organelle assembly",6,31,108.954956246282,"up",0.322046956522614,0.78448669165904,"Brain","Cold"
"GO:0141124","intracellular signaling cassette",4,130,52.5536504386114,"up",0.325883157221216,0.78448669165904,"Brain","Cold"
"GO:0045937","positive regulation of phosphate metabolic process",7,65,69.2001928673521,"up",0.336044393145513,0.78448669165904,"Brain","Cold"
"GO:0048812","neuron projection morphogenesis",5,39,85.6472917986384,"up",0.342017063741594,0.78448669165904,"Brain","Cold"
"GO:0032970","regulation of actin filament-based process",4,53,65.0341341353992,"up",0.359543952394903,0.812636795562167,"Brain","Cold"
"GO:1901987","regulation of cell cycle phase transition",6,35,79.8883954382286,"up",0.359514585523208,0.812636795562167,"Brain","Cold"
"GO:0006816","calcium ion transport",7,82,51.6044395724853,"up",0.361722476073404,0.812636795562167,"Brain","Cold"
"GO:0051248","negative regulation of protein metabolic process",7,81,50.6145047166538,"up",0.365052819243361,0.814539623889948,"Brain","Cold"
"GO:0045017","glycerolipid biosynthetic process",5,32,-217.661888888889,"down",0.174212516915959,0.816310079263353,"Brain","Cold"
"GO:0048584","positive regulation of response to stimulus",4,130,-109.233348477965,"down",0.174099327503013,0.816310079263353,"Brain","Cold"
"GO:0006396","RNA processing",4,200,31.6622760849491,"up",0.368978707851253,0.817736595778452,"Brain","Cold"
"GO:0034765","regulation of monoatomic ion transmembrane transport",5,69,51.2366024023613,"up",0.373442981469724,0.822075824980333,"Brain","Cold"
"GO:0032101","regulation of response to external stimulus",4,37,56.6925773381836,"up",0.39649918683625,0.823170172155953,"Brain","Cold"
"GO:0051347","positive regulation of transferase activity",5,41,53.3484855890642,"up",0.397496548555111,0.823170172155953,"Brain","Cold"
"GO:0006278","RNA-templated DNA biosynthetic process",7,89,34.503425411011,"up",0.402732316553947,0.823170172155953,"Brain","Cold"
"GO:0030163","protein catabolic process",5,44,53.3819073083782,"up",0.393867309346062,0.823170172155953,"Brain","Cold"
"GO:0141187","nucleic acid biosynthetic process",5,322,20.5300984051578,"up",0.393060280833956,0.823170172155953,"Brain","Cold"
"GO:0022604","regulation of cell morphogenesis",5,33,55.9070904645478,"up",0.403423484280087,0.823170172155953,"Brain","Cold"
"GO:0051050","positive regulation of transport",4,56,39.3252106472614,"up",0.411585086077976,0.823170172155953,"Brain","Cold"
"GO:0031344","regulation of cell projection organization",5,57,41.7798608252474,"up",0.405356612138572,0.823170172155953,"Brain","Cold"
